Chr	Start	End	Name	Null	Strand	ExcludedBases	Coverage	IntronDepth	IntronDepth25Percentile	IntronDepth50Percentile	IntronDepth75Percentile	ExonToIntronReadsLeft	ExonToIntronReadsRight	IntronDepthFirst50bp	IntronDepthLast50bp	SpliceLeft	SpliceRight	SpliceExact	IRratio	Warnings
2	41627	42808	FAM110C/ENSG00000184731/clean	0	-	10	0.444065	0.54371	0	0	2	0	0	0	0	32	2	2	0.0136871	LowCover
2	41627	45439	FAM110C/ENSG00000184731/clean	0	-	164	0.476425	0.550685	0	0	2	0	0	0	0	32	21	20	0.0146699	MinorIsoform
2	41627	46806	FAM110C/ENSG00000184731/clean	0	-	1240	0.462808	0.502219	0	0	2	0	0	0	3	32	11	9	0.0142566	LowCover
2	219001	224863	SH3YL1/ENSG00000035115/clean	0	-	614	0.27077	0	0	0	1	9	0	8.5	0	220	94	94	0.00122926	MinorIsoform
2	219001	229965	SH3YL1/ENSG00000035115/clean	0	-	1013	0.167923	0	0	0	0	9	0	8.5	0	220	202	122	0.000762703	MinorIsoform
2	222954	224867	SH3YL1/ENSG00000035115/clean	0	-	14	0.125856	0	0	0	0	3	0	3	0	0	0	0	0	LowCover
2	224920	229965	SH3YL1/ENSG00000035115/clean	0	-	342	0.0531576	0	0	0	0	0	0	0	0	80	202	80	0.000263087	MinorIsoform
2	231191	233100	SH3YL1/ENSG00000035115/clean	0	-	10	0.562928	1.15112	0	1	3	0	0	1	0	122	106	106	0.00934719	-
2	231191	234159	SH3YL1/ENSG00000035115/clean	0	-	149	0.4569	0.476528	0	0	2	0	0	1	0	122	141	16	0.00322996	MinorIsoform
2	233229	234159	SH3YL1/ENSG00000035115/clean	0	-	10	0.238043	0	0	0	0	1	0	0	0	125	141	125	0.00168541	-
2	234272	247537	SH3YL1/ENSG00000035115/clean	0	-	3802	0.196132	0	0	0	0	13	0	13	0	133	115	104	0.00147251	NonUniformIntronCover
2	242176	243502	SH3YL1/ENSG00000035115/clean	0	-	94	0.11526	0	0	0	0	0	3	0	3	0	10	0	0.0113946	LowCover
2	242871	243502	SH3YL1/ENSG00000035115/clean	0	-	10	0.228663	0	0	0	0	1	3	0.55	3	18	10	10	0.0125442	MinorIsoform
